publn_nr,publn_year,permno_adj,IPC1
1000007,2000,US310411980,A61K  47/32
1000014,2000,US135315170,C07H   1/00
1000021,2000,US390394230,A47K  10/42
1000049,2000,US221918501,A61P  19/00
1000151,2000,NL24473890,C08F   4/22
1000243,2000,US363555336,F16J  15/447
1000269,2000,US135315170,C07D 231/12
1000331,2000,US135315170,A61P   3/10
1000345,2000,US135315170,A61P  17/00
1000355,2000,US250730780,C08L 101/00
1000367,2000,US410417775,C12Q   1/08
1000384,2000,US943133088,B65D  83/00
1000472,2000,US391434669,A61L   2/18
100048,2007,US160417150,H01L  21/208
1000527,2000,US980420726,C08K   3/22
100060,2007,US222640650,G01F   3/08
10007,2007,US350257090,F01N   3/023
1000730,2000,US953540776,C12N   5/10
1000735,2000,US360698440,A61K  31/519
1000762,2000,US160417150,C08G  69/42
1000764,2000,US042271897,C09D   7/00
1000778,2000,CN*J00S4140,C08J   3/26
1000925,2000,US860629024,H03M   1/74
1000952,2000,US753099507,B65D  47/24
100097,2007,US140689340,C23C  16/04
1000990,2000,US341531521,B03B   5/00
1001071,2000,US221024240,A61K  31/155
1001105,2000,US*901469241,B01J   3/00
1001117,2000,US580628465,F25D  11/00
1001171,2000,US430259330,G05B  15/02
1001245,2000,NL24473890,B01J  32/00
10013,2007,US221918501,A23J   1/00
1001416,2000,US941081436,B41J   2/14
100142,2007,US340676895,H01R  13/46
1001466,2000,US127688636L,H03H  19/00
1001483,2000,US140689340,C08K   3/04
1001534,2000,US953685934,H04M   1/2745
100160,2008,US160393470,C08K   9/06
1001615,2000,US360781620,C07K  16/40
1001670,2000,GB00851026,A61P  19/02
1001710,2000,IE545333,A61B  17/04
1001806,2000,US220790350,A61M   1/02
1001854,2000,US340526850,C09D   5/02
1001872,2000,IE545333,A61B  17/02
100188,2008,US042695240,A61N   1/39
100190,2008,US360781620,C08B  37/00
1001991,2000,US230366390,D06N   1/00
1002010,2000,US221918501,A61B  10/00
1002024,2000,US221918501,C09D 201/00
10021,2007,US221918501,A61J   1/03
100218,2008,US710872999,C12N  15/53
100220,2008,US160393470,C03B  17/00
1002206,2000,US410417775,B29C  63/02
1002224,2000,US140689340,C08G  77/46
1002238,2000,IE545333,A61B  17/90
1002244,2000,US042209186,G01N  35/02
100234,2008,IE512978,H01R  13/53
1002343,2000,US310411980,D06M  13/35
1002354,2000,US135409005,C10L   1/192
1002402,2000,US160393470,G01N  33/545
100250,2008,US146821616L,A61K  47/30
