publn_nr,publn_year,permno_adj,IPC1,share_pat
1120,2007,DE5070169898,G01R  31/36,0.33333334
1120,2007,DE5070169898,G01R  19/15,0.33333334
1120,2007,DE5070169898,G05F   3/30,0.33333334
1204,2000,JP000001032JPN,C07K  14/00,0.14285715
1204,2000,JP000001032JPN,C07K  14/47,0.14285715
1204,2000,JP000001032JPN,C07K  14/705,0.14285715
1204,2000,JP000001032JPN,C12N  15/00,0.14285715
1204,2000,JP000001032JPN,C07K  16/18,0.14285715
1204,2000,JP000001032JPN,A61K  38/00,0.14285715
1204,2000,JP000001032JPN,C07K  16/28,0.14285715
1215,2000,US942634797,H01J  37/32,0.2
1215,2000,US942634797,H01L  21/205,0.2
1215,2000,US942634797,H01L  21/3065,0.2
1215,2000,US942634797,C23C  16/507,0.2
1215,2000,US942634797,H05H   1/46,0.2
1221,2001,US362382580,B60R  21/13,0.25
1221,2001,US362382580,B60Q   1/32,0.25
1221,2001,US362382580,B60Q   1/00,0.25
1221,2001,US362382580,B62D  33/06,0.25
1237,2001,US160468020,C08F   2/32,0.25
1237,2001,US160468020,B01F  17/00,0.25
1237,2001,US160468020,B01J  13/20,0.25
1237,2001,US160468020,B01J  13/10,0.25
1361,2002,US043002117,C07D 321/00,0.16666667
1361,2002,US043002117,A61K  45/06,0.16666667
1361,2002,US043002117,C07D 313/00,0.16666667
1361,2002,US043002117,C07D 493/04,0.16666667
1361,2002,US043002117,A61K  31/365,0.16666667
1361,2002,US043002117,C07D 313/06,0.16666667
1513,2004,US128551454L,A61K  33/26,0.071428575
1513,2004,US128551454L,A61K  31/00,0.071428575
1513,2004,US128551454L,A61K,0.071428575
1513,2004,US128551454L,A61P  35/00,0.071428575
1513,2004,US128551454L,A61K  38/14,0.071428575
1513,2004,US128551454L,A61K  31/195,0.071428575
1513,2004,US128551454L,A61K  47/48,0.071428575
1513,2004,US128551454L,A61K  51/00,0.071428575
1513,2004,US128551454L,A61K  31/15,0.071428575
1513,2004,US128551454L,A61K  38/17,0.071428575
1513,2004,US128551454L,A61K  31/714,0.071428575
1513,2004,US128551454L,A61K  38/19,0.071428575
1513,2004,US128551454L,A61K  31/70,0.071428575
1513,2004,US128551454L,A61K  38/21,0.071428575
1518,2004,US221024240,A01K  67/027,0.125
1518,2004,US221024240,C12N  15/85,0.125
1518,2004,US221024240,C12Q   1/68,0.125
1518,2004,US221024240,G01N  33/50,0.125
1518,2004,US221024240,A61K  49/00,0.125
1518,2004,US221024240,C07K  14/47,0.125
1518,2004,US221024240,C12N   5/10,0.125
1518,2004,US221024240,C12N,0.125
1654,2005,US060548860,B25B  23/00,0.5
1654,2005,US060548860,B25B  21/02,0.5
1669,2005,US221024240,A61B  17/22,1
1882,2006,US910425694,G06F   9/46,1
1892,2006,US340253240,B29C  73/22,0.33333334
1892,2006,US340253240,C08L  23/22,0.33333334
1892,2006,US340253240,B29C  73/16,0.33333334
1900,2006,US310411980,C11D   3/395,0.33333334
1900,2006,US310411980,C11D   3/39,0.33333334
1900,2006,US310411980,C11D   3/386,0.33333334
1926,1997,US060548860,B27G  19/02,0.2
1926,1997,US060548860,B23Q  11/00,0.2
1926,1997,US060548860,B23Q  11/08,0.2
1926,1997,US060548860,B23D  59/00,0.2
1926,1997,US060548860,B23D  47/02,0.2
1931,2006,US310411980,C11D  11/00,0.25
1931,2006,US310411980,C11D   3/50,0.25
1931,2006,US310411980,C11D  17/04,0.25
1931,2006,US310411980,C11D   3/386,0.25
1932,2006,US310411980,A45D  20/42,1
1969,2006,US362382580,A01F  15/14,0.33333334
1969,2006,US362382580,F01P  11/10,0.33333334
1969,2006,US362382580,A01B  71/08,0.33333334
1983,2006,US381285128,C11D   7/00,0.2
1983,2006,US381285128,C11D  11/00,0.2
1983,2006,US381285128,H01L  21/306,0.2
1983,2006,US381285128,C09K  13/08,0.2
1983,2006,US381285128,C09D   9/00,0.2
1989,2006,US221024240,A61M  25/09,1
2039,2006,JP000000801JPN,C08F 220/06,0.5
2039,2006,JP000000801JPN,A61Q   1/10,0.5
2061,2006,US222640650,C07C  19/08,0.33333334
2061,2006,US222640650,C07C  21/18,0.33333334
2061,2006,US222640650,C07C  17/278,0.33333334
2108,2006,US130871985,G06F   3/12,1
2125,2006,US360698440,A61F   2/16,1
2127,2006,US411356149,A61L  24/08,1
2237,2006,US135315170,A61K  31/4155,0.33333334
2237,2006,US135315170,A61P  35/00,0.33333334
2237,2006,US135315170,C07D 401/04,0.33333334
2245,2006,IE545333,A61B   5/05,0.5
2245,2006,IE545333,A61B   5/06,0.5
2285,2006,US410417775,C09J 163/00,0.25
2285,2006,US410417775,C08L  33/00,0.25
2285,2006,US410417775,C09J 133/06,0.25
2285,2006,US410417775,C09J 133/08,0.25
2287,2006,US410417775,G02B   6/38,0.5
2287,2006,US410417775,G02B   6/36,0.5
2439,2006,US361115800,H04Q   5/22,1
2454,2006,US410417775,A61K   6/00,0.5
2454,2006,US410417775,A61Q  11/00,0.5
2458,2006,US410417775,C08K   5/54,0.33333334
2458,2006,US410417775,C08L  27/12,0.33333334
2458,2006,US410417775,C08K   5/00,0.33333334
2475,2006,US410417775,H04N   9/31,0.25
2475,2006,US410417775,G02B  27/18,0.25
2475,2006,US410417775,G03B  21/20,0.25
2475,2006,US410417775,G03B  21/28,0.25
2477,2006,US410417775,A61K   6/08,0.5
2477,2006,US410417775,A61K   6/027,0.5
2488,2006,US131815595,A23K   1/175,0.5
2488,2006,US131815595,A23K   1/18,0.5
2559,2006,IE498284,A61K  31/58,0.5
2559,2006,IE498284,A61K   9/14,0.5
2560,2006,US952746131,H04L  29/12,0.5
2560,2006,US952746131,H04L  12/56,0.5
2582,2006,US410417775,B05D   5/08,1
2590,2006,US410417775,H01L  33/60,0.2
