publn_nr,publn_year,permno_adj,IPC1,share_pat
16620811,1986,US000100,C11D_3/43,.33333334
16620811,1986,US000100,C09G_1/16,.33333334
16620811,1986,US000100,C11D_3/37,.33333334
41989877,1986,US000100,C11D_1/66,.090909094
41989877,1986,US000100,C11D_17/00,.090909094
41989877,1986,US000100,C11D_10/02,.090909094
41989877,1986,US000100,C11D_3/43,.090909094
41989877,1986,US000100,C11D_1/20,.090909094
41989877,1986,US000100,C11D_1/12,.090909094
41989877,1986,US000100,C11D_1/83,.090909094
41989877,1986,US000100,C11D_1/34,.090909094
41989877,1986,US000100,C11D_17/08,.090909094
41989877,1986,US000100,C11D_3/18,.090909094
41989877,1986,US000100,C11D_1/68,.090909094
42150727,1986,US000100,A61K_31/60,.11111111
42150727,1986,US000100,A61K_8/23,.11111111
42150727,1986,US000100,A61K_8/368,.11111111
42150727,1986,US000100,A61K_31/21,.11111111
42150727,1986,US000100,A61Q_5/02,.11111111
42150727,1986,US000100,A61K_8/37,.11111111
42150727,1986,US000100,A61Q_5/00,.11111111
42150727,1986,US000100,C11D_1/00,.11111111
42150727,1986,US000100,A61K_8/45,.11111111
4242101,1986,US000100,C08F_8/44,.25
4242101,1986,US000100,C09D_123/02,.25
4242101,1986,US000100,C09D_135/06,.25
4242101,1986,US000100,C09D_201/02,.25
53659626,1986,US000100,B65D_83/14,.33333334
53659626,1986,US000100,B65D_83/16,.33333334
53659626,1986,US000100,A61L_9/14,.33333334
54252162,1986,US000100,A01N_25/16,1
54261574,1986,US000100,C11D_3/386,.33333334
54261574,1986,US000100,C11D_3/37,.33333334
54261574,1986,US000100,C11D_3/18,.33333334
54283731,1986,US000100,A61L_9/14,.5
54283731,1986,US000100,A01M_1/20,.5
1177152,1987,US000100,B65D_83/14,.5
1177152,1987,US000100,B65D_83/38,.5
16657406,1987,US000100,A61K_8/46,.090909094
16657406,1987,US000100,C11D_1/37,.090909094
16657406,1987,US000100,A61K_8/36,.090909094
16657406,1987,US000100,A61Q_19/10,.090909094
16657406,1987,US000100,C11D_1/28,.090909094
16657406,1987,US000100,C11D_1/06,.090909094
16657406,1987,US000100,C11D_3/60,.090909094
16657406,1987,US000100,A61K_8/00,.090909094
16657406,1987,US000100,C11D_1/29,.090909094
16657406,1987,US000100,C11D_1/12,.090909094
16657406,1987,US000100,A61Q_5/02,.090909094
16667109,1987,US000100,A01N_25/06,.5
16667109,1987,US000100,A01N_25/24,.5
18144888,1987,US000100,C08F_2/30,.25
18144888,1987,US000100,C08F_2/24,.25
18144888,1987,US000100,C08F_2/22,.25
18144888,1987,US000100,C08F_2/44,.25
18144889,1987,US000100,C08F_220/18,.2
18144889,1987,US000100,C08F_2/26,.2
18144889,1987,US000100,C09J_151/00,.2
18144889,1987,US000100,C09J_7/02,.2
18144889,1987,US000100,C09J_151/06,.2
2239663,1987,US000100,B05B_11/04,1
22929272,1987,US000100,G01N_31/22,1
2306337,1987,US000100,B65D_83/14,.16666667
2306337,1987,US000100,B65D_83/28,.16666667
2306337,1987,US000100,B65D_83/58,.16666667
2306337,1987,US000100,F16J_1/04,.16666667
2306337,1987,US000100,B65D_83/16,.16666667
2306337,1987,US000100,B65D_83/42,.16666667
39807351,1987,US000100,B65D_83/14,.33333334
39807351,1987,US000100,B65D_83/16,.33333334
39807351,1987,US000100,B05B_1/16,.33333334
42252955,1987,US000100,A61L_9/03,.2
42252955,1987,US000100,A01M_1/20,.2
42252955,1987,US000100,A61L_9/14,.2
42252955,1987,US000100,B05B_9/00,.2
42252955,1987,US000100,A61L_2/22,.2
45443590,1987,US000100,A01N_37/18,.5
45443590,1987,US000100,A01N_25/18,.5
46737814,1987,US000100,A47L_23/05,1
46746062,1987,US000100,A01M_1/02,.5
46746062,1987,US000100,A01M_1/20,.5
46972582,1987,US000100,A61L_9/03,.5
46972582,1987,US000100,A01M_1/20,.5
47663152,1987,US000100,C08L_33/14,.33333334
