permno_year,publn_nr,mahal_dist
US0001002007,28452,151.34925251830407
US0001002008,79922,152.2669253073945
US0001002008,88734,221.4648768857456
US0001002008,267069,265.7893893764211
US0001011989,323050,316.14596716444026
US0001011990,323694,156.36735354381446
US0001011990,324159,181.76647270188855
US0001011991,325060,126.41149457468735
US0001002002,340356,113.40583230281013
US0001001998,346883,126.16514398800535
US0001002008,371647,154.41057907798813
US0001001997,469992,110.75557030788713
US0001002002,531024,315.7655617930133
US0001002002,531225,126.17972913731761
US0001002005,534765,297.60848503948085
US0001011986,638220,182.41122317115133
US0001002000,993119,136.36629853509382
US0001002000,996184,132.45121529106694
US0001002000,1001105,116.67970372086295
US0001002001,1024253,95.44536192281289
US0001002001,1026856,116.9630050298646
US0001002002,1035355,222.9526631696902
US0001002003,1068274,85.37073695250973
US0001002004,1090267,210.54271382700554
US0001002004,1091753,139.8434595961512
US0001002005,1101237,205.06079468562635
US0001002005,1101603,95.86088354047767
US0001001987,1177152,171.416808671422
US0001011988,1192361,94.44392320402802
US0001011988,1195430,118.65358908826893
US0001011988,1196150,102.11960021160024
US0001011990,1216717,87.9190044846286
US0001011990,1218674,85.11133718413222
US0001011990,1221437,55.44142757309554
US0001001991,1244284,77.40179783528599
US0001011992,1252124,103.09997455681197
US0001001992,1259990,201.54061025323867
US0001001993,1278762,65.84050602156735
US0001001993,1278926,305.3052531007547
US0001001994,1292387,215.07845322282847
US0001001994,1293285,173.0282926468394
US0001001995,1311948,100.9137685327407
US0001001996,1327981,233.2351453216342
US0001001996,1328172,135.05571314897986
US0001001997,1333324,157.0129470219427
US0001001997,1339139,163.1342536211633
US0001001997,1341782,233.2379043036635
US0001001998,1354474,297.6622704545523
US0001001998,1363832,123.52008989625415
US0001001998,1363873,138.9837507699748
US0001001998,1364525,211.94482935462938
US0001001999,1370984,177.8933637122744
US0001001999,1378260,165.72733793237236
US0001011992,1474154,124.96532488301345
US0001001988,1515039,150.29365939976128
US0001001988,1529219,96.65578459982025
US0001001995,1556161,122.07510172222985
US0001001988,1570710,102.35475082517299
US0001001997,1618483,253.18998506982373
US0001001999,1634912,310.3142081992559
US0001001995,1648029,70.42305794269146
US0001011988,1652981,316.2713635134812
US0001001997,1669574,150.80476652100728
US0001001997,1687160,108.7503184841586
US0001001989,1722536,210.63611499620913
US0001002000,1765536,154.95477795743898
US0001001997,1772204,96.902176707751
US0001001989,1835990,67.10340053951421
US0001001999,1881706,121.71193197348363
US0001001997,1903988,157.83113216874003
US0001001995,1918167,100.9137685327407
US0001011986,2039163,313.91016131928063
US0001001996,2043333,154.01104836119865
US0001001990,2199129,210.79401040275096
US0001001998,2230443,121.73502266840025
US0001001987,2239663,313.4413621951346
US0001001998,2247983,121.73502266840025
US0001002001,2249953,136.15694336576325
US0001001998,2250052,121.73502266840025
US0001001991,2300562,80.36748096512073
US0001001987,2306337,105.53076622181844
US0001002001,2359820,152.72158840529042
US0001011987,2360543,81.71468215451316
US0001001991,2388624,94.07002022886087
US0001002001,2394668,88.89811730545516
US0001011991,2415222,316.1015476229198
US0001002001,2518795,96.62526231572528
US0001002001,2521802,121.46028188085793
US0001002001,2526696,153.81099468766485
US0001002002,2532881,74.77546599776385
US0001002002,2534335,79.7138772442763
US0001002002,2553393,190.87590774244944
US0001002002,2553602,82.51037144290927
US0001002003,2578816,189.31260582283633
US0001002003,2592101,290.71567308375006
US0001002003,2604447,297.53634240630265
US0001002003,2606991,108.25972494022155
US0001002003,2610653,291.1683620537684
US0001002003,2632863,221.97931663683443
US0001002003,2634580,132.99082889361372
US0001002003,2639452,297.53634240630265
US0001002003,2641146,97.37387843912542
US0001002003,2641439,315.7200519772649
US0001002003,2643816,136.48163115968813
US0001002003,2648799,151.45262497033323
US0001002003,2659223,120.0226891967872
US0001002004,2686430,189.60896215452325
US0001002005,2721305,99.42864655996686
US0001002006,2745677,171.74366242628477
US0001002006,2745678,172.59671790379954
US0001002006,2746504,176.58560258951482
US0001002006,2755269,175.75847790493648
US0001002001,3474966,136.2396498752259
US0001002001,3476854,98.0252410418719
US0001002003,3502562,79.18200523022176
US0001001988,3699183,136.82623381389806
US0001001995,3762884,120.01619551989234
US0001001997,3785474,99.99768453385518
US0001011986,4239050,223.45984939998453
US0001001986,4242101,148.3972117746363
US0001011986,4255821,182.0486390638893
US0001011987,4259359,163.19493175507304
US0001011987,4261412,128.87072964766412
US0001011987,4272045,127.45406945063282
US0001011987,4278410,113.45661190994122
US0001001988,4289856,83.2837229878566
US0001011987,4293217,153.6077970642145
US0001001989,4301837,186.3191233603569
US0001001989,4311051,304.4562545740108
US0001001989,4311052,304.4562545740108
US0001011989,4335828,195.22881596844
US0001011990,4341487,99.21634819796171
US0001011990,4357622,223.3887425981626
US0001011990,4361118,188.45958805081798
US0001011990,4365023,68.60790831143625
US0001011990,4366864,127.07185942224622
US0001011992,4404052,302.79346421242684
US0001001992,4405615,173.81054725220932
US0001011992,4408386,302.79346421242684
US0001001994,4476411,117.55976314750842
US0001001994,4516259,132.70231931526052
US0001001996,4588167,216.08236426726475
US0001001997,4616211,60.41064329550689
US0001001997,4623104,155.45785817972444
US0001001997,4624160,121.79904316515758
US0001001999,4629558,220.8048320973179
US0001001999,4637116,314.9129375971861
US0001001998,4638867,138.6263331758432
US0001001998,4646869,110.27198791109646
US0001001998,4664264,308.0793934880193
US0001001998,4678499,124.13983259054854
US0001001999,4685130,265.78884400327723
US0001001999,4686406,150.4958510546636
US0001001999,4699949,201.34611724268248
US0001001999,4719214,80.39555346491595
US0001002001,4720019,221.7443163114282
US0001002000,4728470,146.6402494902379
US0001002000,4739109,135.2767472810649
US0001002002,4741833,312.83595984530916
US0001002000,4744021,180.4531183834505
US0001002000,4748887,315.2051647014885
US0001002002,4752002,222.95266316969014
US0001002001,4766883,102.20908192688971
US0001002001,4785664,96.42953784557766
US0001002002,4801907,115.67765210090997
US0001002003,4847756,124.10813851951674
US0001002004,4863398,222.56948062158656
US0001002003,4867732,221.22192300389497
US0001002003,4871403,137.9482505136527
US0001002005,4882542,155.65512293935174
US0001002005,4886190,156.08826721655564
US0001002003,4887058,154.51252949033457
US0001002004,4896209,154.13352968799097
US0001002004,4911102,297.6712050284397
US0001002004,4911199,145.84748607712854
US0001002006,4931879,213.65010893762474
US0001002006,4932041,215.1084415301173
US0001002005,4939306,124.32098484610799
US0001002006,4940925,124.45201749094885
US0001002005,4943073,177.12386693855186
US0001002005,4948171,180.73467319512386
US0001002005,4956390,177.07408728299475
US0001002005,4957831,146.37594721302787
US0001002005,4967132,205.95406728983352
US0001002006,4985327,176.14881299875074
US0001002006,5002220,211.89893558535942
US0001002006,5013715,102.11342759991558
US0001011986,5888651,130.01213306743776
US0001002002,6919501,62.04055020606574
US0001002003,7059185,156.34436327476283
US0001002003,7067402,210.8048114118167
US0001011986,7082722,119.18318968418053
US0001011986,7087335,315.59904231836714
US0001011988,7119727,316.27136351348133
US0001011991,7214052,309.6387918988978
US0001001997,7560389,233.2379043036635
US0001001999,7758879,121.71193197348363
US0001001999,7765642,125.64144529519572
US0001002006,8631944,314.4393304173519
US0001002006,8642489,124.6406443563006
US0001001992,8997882,121.62470029846665
US0001011986,10889688,216.565087417785
US0001011986,10896757,316.1337053849416
US0001011986,10900743,182.4112231711511
US0001011986,10901907,223.47375613349578
US0001011986,10912518,316.13370538494155
US0001011986,10917014,88.16610709707435
US0001011986,10925137,221.81046301549708
US0001011986,10927786,87.34844669538775
US0001011986,10930044,223.42999272999626
US0001011986,10931236,157.06711628981765
US0001011986,10938355,123.74898245359155
US0001011986,10938886,128.8498566047795
US0001011986,10942629,103.21626682872143
US0001011986,10943611,100.56486093168138
US0001011986,10948317,180.9783202677318
US0001011986,10951448,137.37187672108988
US0001011987,10989781,111.33496406363051
US0001011987,10991475,216.2580652652941
US0001011986,11005769,66.65213344439373
US0001011987,11007291,99.77939657617021
US0001011987,11008073,140.688762030015
US0001011987,11008851,140.58422730237248
US0001011987,11010616,221.7930242436395
US0001011987,11011471,133.94315664728757
US0001011987,11020597,103.66021756260486
US0001011987,11021669,111.38904376996676
US0001011987,11023682,181.41915802981114
US0001011988,11049790,129.0697601032117
US0001011988,11062023,157.71382104797007
US0001011988,11063029,82.45176117427108
US0001011988,11063403,125.93049635113752
US0001011988,11064741,93.26972220723157
US0001011988,11064776,155.1585628187701
US0001011988,11066250,219.1462201861319
US0001011988,11068395,156.52278715493352
US0001011988,11068455,157.16975344563463
US0001011988,11081175,75.56995061424729
US0001011988,11082850,74.01506316320913
US0001011988,11085445,110.66615138695678
US0001011988,11089734,179.34349266127066
US0001001988,11092908,181.96702314908768
US0001011988,11099909,316.27136351348173
US0001011988,11101104,137.7232599756064
